<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,60,20151116,110000,93.0900000,93.8000000,93.0100000,93.4800000,7446300
SBER,60,20151116,120000,93.4900000,94.0500000,93.2000000,93.8100000,10430360
SBER,60,20151116,130000,93.8100000,94.0000000,93.6000000,93.7600000,6203540
SBER,60,20151116,140000,93.7400000,94.6600000,93.7100000,94.6100000,9658920
SBER,60,20151116,150000,94.6100000,94.8000000,94.3500000,94.5500000,7233140
SBER,60,20151116,160000,94.5500000,94.7400000,94.4600000,94.5300000,4891440
SBER,60,20151116,170000,94.5400000,94.7300000,94.1100000,94.2500000,8215990
SBER,60,20151116,180000,94.2500000,95.5400000,94.2000000,95.2700000,16620540
SBER,60,20151116,190000,95.2500000,96.1400000,95.2300000,95.8000000,17301800
SBER,60,20151117,110000,96.5200000,97.7700000,96.5200000,97.6200000,25996770
SBER,60,20151117,120000,97.6200000,98.1000000,97.4600000,97.7400000,16356510
SBER,60,20151117,130000,97.7400000,99.8000000,97.7400000,99.5500000,28724060
SBER,60,20151117,140000,99.5300000,99.8000000,99.2100000,99.5200000,12698970
SBER,60,20151117,150000,99.5100000,100.1500000,99.4200000,99.7600000,17622080
SBER,60,20151117,160000,99.7300000,100.2000000,99.6200000,99.8100000,10558360
SBER,60,20151117,170000,99.7900000,100.4500000,99.5600000,100.3400000,11528180
SBER,60,20151117,180000,100.3200000,101.2700000,100.2600000,101.2200000,31155100
SBER,60,20151117,190000,101.2400000,102.6700000,101.2300000,102.5000000,26100100
SBER,60,20151118,110000,102.7800000,104.3200000,101.7400000,102.4700000,33336990
SBER,60,20151118,120000,102.4900000,103.2800000,102.0000000,102.6000000,18100100
SBER,60,20151118,130000,102.5900000,102.9900000,102.3000000,102.8400000,6375570
SBER,60,20151118,140000,102.8400000,103.9500000,102.8100000,103.5900000,14342090
SBER,60,20151118,150000,103.5800000,104.5900000,103.4200000,104.1000000,15302490
SBER,60,20151118,160000,104.0700000,104.4700000,103.9500000,104.0700000,11923620
SBER,60,20151118,170000,104.0400000,104.4300000,103.7000000,104.2900000,10611010
SBER,60,20151118,180000,104.3000000,104.3000000,103.3100000,104.1500000,15813210
