<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,D,20151102,000000,90.2500000,93.8000000,89.6600000,93.6500000,124983010
SBER,D,20151103,000000,93.8600000,95.5900000,93.3200000,95.4000000,122392690
SBER,D,20151105,000000,96.0000000,96.6000000,94.6000000,95.5000000,126679170
SBER,D,20151106,000000,95.5000000,95.9100000,93.5700000,94.0900000,106562480
SBER,D,20151109,000000,94.4900000,94.7900000,92.7000000,92.9500000,78965580
SBER,D,20151110,000000,92.7600000,94.4200000,92.0200000,94.3500000,71406950
SBER,D,20151111,000000,94.2000000,94.8600000,92.6500000,94.0000000,77455220
SBER,D,20151112,000000,93.4300000,94.7700000,92.6900000,94.2900000,79120920
SBER,D,20151113,000000,93.4200000,94.3900000,92.9600000,93.4000000,78881520
SBER,D,20151116,000000,93.0900000,96.1400000,93.0100000,95.8000000,88002030
SBER,D,20151117,000000,96.5200000,102.6700000,96.5200000,102.5000000,180740130
SBER,D,20151118,000000,102.7800000,104.5900000,101.7400000,104.0000000,136465200
SBER,D,20151119,000000,104.6300000,108.5500000,102.5400000,104.8600000,190977640
SBER,D,20151120,000000,104.3400000,107.3000000,103.1900000,107.3000000,113665790
SBER,D,20151123,000000,106.8500000,110.3200000,105.2200000,109.9800000,173177320
SBER,D,20151124,000000,109.8300000,110.7000000,105.1500000,105.6000000,154124530
SBER,D,20151125,000000,106.2100000,108.9400000,105.4400000,108.5100000,119438820
SBER,D,20151126,000000,108.7800000,109.3000000,105.6000000,106.4800000,80594160
SBER,D,20151127,000000,105.7400000,106.0600000,103.7000000,104.5500000,93246670
SBER,D,20151130,000000,103.9000000,105.9000000,102.7500000,102.9000000,87093940
SBER,D,20151201,000000,103.5100000,103.9000000,100.6000000,101.3000000,98740920
SBER,D,20151202,000000,101.4900000,103.4900000,101.1500000,102.5000000,89679440
SBER,D,20151203,000000,101.9100000,105.0200000,101.5000000,104.0000000,96330850
SBER,D,20151204,000000,103.7000000,105.6700000,102.2500000,103.0500000,107482110
SBER,D,20151207,000000,103.4500000,104.9000000,102.7800000,103.0000000,91307170
SBER,D,20151208,000000,102.8100000,103.0800000,96.9500000,97.0000000,159192320
SBER,D,20151209,000000,97.4800000,101.0500000,97.2400000,100.6600000,118977140
SBER,D,20151210,000000,100.2500000,101.7500000,99.6700000,100.1300000,88882360
SBER,D,20151211,000000,99.8800000,100.5900000,97.7600000,98.1500000,90910000
SBER,D,20151214,000000,97.6000000,98.3700000,96.2300000,97.7000000,101803240
SBER,D,20151215,000000,98.3600000,100.7900000,98.2400000,100.0000000,87414990
SBER,D,20151216,000000,100.2600000,102.5000000,100.0700000,102.4500000,70519150
SBER,D,20151217,000000,102.8500000,105.1800000,102.5500000,103.7500000,120045750
SBER,D,20151218,000000,103.0500000,103.1800000,98.8000000,98.8100000,108739650
SBER,D,20151221,000000,98.9400000,100.8000000,97.6500000,98.7300000,81350840
SBER,D,20151222,000000,99.5000000,100.4000000,99.1000000,99.8000000,48754440
SBER,D,20151223,000000,100.1500000,102.9600000,100.1300000,102.9600000,72242830
SBER,D,20151224,000000,103.7000000,103.8900000,100.4000000,101.3500000,72100810
SBER,D,20151225,000000,101.8300000,102.3200000,100.7800000,101.3400000,26162460
SBER,D,20151228,000000,101.2500000,101.5400000,99.4600000,100.2000000,36917760
SBER,D,20151229,000000,100.4200000,102.5000000,99.7400000,101.8200000,72668060
SBER,D,20151230,000000,101.6700000,101.8500000,100.4700000,101.2600000,38859760
