<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
VTBR,D,20151102,000000,0.0720700,0.0730000,0.0716000,0.0725000,8184040000
VTBR,D,20151103,000000,0.0728800,0.0739600,0.0720000,0.0739600,21750800000
VTBR,D,20151105,000000,0.0735000,0.0769700,0.0735000,0.0761500,19657530000
VTBR,D,20151106,000000,0.0765100,0.0774200,0.0749000,0.0758500,15807530000
VTBR,D,20151109,000000,0.0756700,0.0762600,0.0752000,0.0760000,6861110000
VTBR,D,20151110,000000,0.0759000,0.0761000,0.0746700,0.0757600,11538080000
VTBR,D,20151111,000000,0.0757400,0.0762000,0.0752400,0.0760000,8560070000
VTBR,D,20151112,000000,0.0756700,0.0761000,0.0754200,0.0754200,5995180000
VTBR,D,20151113,000000,0.0752000,0.0758000,0.0740300,0.0758000,15961930000
VTBR,D,20151116,000000,0.0756000,0.0761400,0.0755500,0.0758800,8554670000
VTBR,D,20151117,000000,0.0760800,0.0788600,0.0751600,0.0759500,33283970000
VTBR,D,20151118,000000,0.0763300,0.0776800,0.0759400,0.0761000,20381580000
VTBR,D,20151119,000000,0.0769800,0.0773000,0.0748600,0.0762000,15554990000
VTBR,D,20151120,000000,0.0759200,0.0769500,0.0753200,0.0760100,10670850000
VTBR,D,20151123,000000,0.0761800,0.0769500,0.0751400,0.0763000,8971970000
VTBR,D,20151124,000000,0.0762700,0.0767700,0.0717100,0.0728300,28412400000
VTBR,D,20151125,000000,0.0731000,0.0747200,0.0724100,0.0745000,10185130000
VTBR,D,20151126,000000,0.0742100,0.0760000,0.0742000,0.0760000,11891910000
VTBR,D,20151127,000000,0.0759800,0.0761000,0.0727100,0.0727100,13082820000
VTBR,D,20151130,000000,0.0726000,0.0735500,0.0706600,0.0710000,17853100000
VTBR,D,20151201,000000,0.0715800,0.0734300,0.0712400,0.0732800,12394860000
VTBR,D,20151202,000000,0.0735000,0.0739900,0.0714900,0.0722500,9322470000
VTBR,D,20151203,000000,0.0718800,0.0725500,0.0713800,0.0717000,6218590000
VTBR,D,20151204,000000,0.0719600,0.0733300,0.0714000,0.0723000,15645520000
VTBR,D,20151207,000000,0.0720000,0.0727100,0.0718000,0.0724700,9238960000
VTBR,D,20151208,000000,0.0724000,0.0728200,0.0720900,0.0724500,9832700000
VTBR,D,20151209,000000,0.0725800,0.0760000,0.0723500,0.0750500,25003200000
VTBR,D,20151210,000000,0.0750100,0.0768500,0.0747400,0.0757500,17222540000
VTBR,D,20151211,000000,0.0754400,0.0767000,0.0754100,0.0757000,11612640000
VTBR,D,20151214,000000,0.0754900,0.0759500,0.0749500,0.0757500,19777180000
VTBR,D,20151215,000000,0.0759400,0.0763900,0.0753000,0.0762400,20944110000
VTBR,D,20151216,000000,0.0762400,0.0780000,0.0759300,0.0775000,13767640000
VTBR,D,20151217,000000,0.0777400,0.0799000,0.0777300,0.0787700,21865740000
VTBR,D,20151218,000000,0.0787200,0.0788100,0.0752000,0.0752000,16462110000
VTBR,D,20151221,000000,0.0755700,0.0767800,0.0755700,0.0763400,9011820000
VTBR,D,20151222,000000,0.0763100,0.0782900,0.0761600,0.0774200,7064900000
VTBR,D,20151223,000000,0.0773100,0.0792400,0.0773100,0.0786400,9219220000
VTBR,D,20151224,000000,0.0788100,0.0789700,0.0767200,0.0770100,5995670000
VTBR,D,20151225,000000,0.0773000,0.0778900,0.0760200,0.0771000,7048770000
VTBR,D,20151228,000000,0.0771000,0.0774400,0.0760000,0.0760000,5984870000
VTBR,D,20151229,000000,0.0760200,0.0784700,0.0756300,0.0782000,18476360000
VTBR,D,20151230,000000,0.0783500,0.0798600,0.0773600,0.0797000,76856480000
