<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
VTBR,60,20151102,110000,0.0720700,0.0725500,0.0716000,0.0718500,766540000
VTBR,60,20151102,120000,0.0718500,0.0723800,0.0716400,0.0722300,735950000
VTBR,60,20151102,130000,0.0722300,0.0724800,0.0718700,0.0721900,637950000
VTBR,60,20151102,140000,0.0721900,0.0722400,0.0718500,0.0720600,232510000
VTBR,60,20151102,150000,0.0720500,0.0729500,0.0719900,0.0728200,1451010000
VTBR,60,20151102,160000,0.0727800,0.0728000,0.0722100,0.0725300,736170000
VTBR,60,20151102,170000,0.0724900,0.0729100,0.0724800,0.0728800,368140000
VTBR,60,20151102,180000,0.0728400,0.0729800,0.0727700,0.0729500,961960000
VTBR,60,20151102,190000,0.0729700,0.0730000,0.0725000,0.0725000,2293810000
VTBR,60,20151103,110000,0.0728800,0.0738000,0.0725200,0.0730500,1975220000
VTBR,60,20151103,120000,0.0730600,0.0731500,0.0720000,0.0722900,2337810000
VTBR,60,20151103,130000,0.0722900,0.0728000,0.0720800,0.0727900,566180000
VTBR,60,20151103,140000,0.0727900,0.0731400,0.0721300,0.0721900,2008800000
VTBR,60,20151103,150000,0.0721900,0.0732000,0.0721700,0.0729200,6875690000
VTBR,60,20151103,160000,0.0729200,0.0735000,0.0727000,0.0734500,2447080000
VTBR,60,20151103,170000,0.0734600,0.0735000,0.0732600,0.0735000,1389050000
VTBR,60,20151103,180000,0.0735000,0.0738900,0.0733700,0.0735000,2639620000
VTBR,60,20151103,190000,0.0735300,0.0739600,0.0734000,0.0739600,1511350000
VTBR,60,20151105,110000,0.0735000,0.0751600,0.0735000,0.0748200,3472940000
VTBR,60,20151105,120000,0.0748300,0.0754000,0.0747700,0.0754000,2589700000
VTBR,60,20151105,130000,0.0754000,0.0756900,0.0751000,0.0756000,1354230000
VTBR,60,20151105,140000,0.0756000,0.0762900,0.0753100,0.0761500,2351840000
VTBR,60,20151105,150000,0.0761700,0.0769700,0.0761400,0.0763000,3798790000
VTBR,60,20151105,160000,0.0763000,0.0763100,0.0755100,0.0760500,2037370000
VTBR,60,20151105,170000,0.0760500,0.0764700,0.0758700,0.0761600,891020000
