<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
VTBR,1,20151102,100100,0.0720700,0.0721000,0.0720200,0.0720500,36540000
VTBR,1,20151102,100200,0.0720400,0.0721300,0.0720400,0.0721300,6480000
VTBR,1,20151102,100300,0.0721000,0.0722700,0.0720500,0.0722100,20620000
VTBR,1,20151102,100400,0.0722200,0.0722500,0.0721500,0.0722500,3100000
VTBR,1,20151102,100500,0.0722100,0.0722500,0.0722100,0.0722100,720000
VTBR,1,20151102,100600,0.0722500,0.0722500,0.0721800,0.0721800,2380000
VTBR,1,20151102,100700,0.0722200,0.0722200,0.0721800,0.0722200,13560000
VTBR,1,20151102,100800,0.0722200,0.0722500,0.0722200,0.0722500,7970000
VTBR,1,20151102,100900,0.0722600,0.0723800,0.0722600,0.0723200,7610000
VTBR,1,20151102,101000,0.0723200,0.0725500,0.0723200,0.0724800,36210000
VTBR,1,20151102,101100,0.0723900,0.0724000,0.0723100,0.0724000,23950000
VTBR,1,20151102,101200,0.0723800,0.0724300,0.0723200,0.0724300,14820000
VTBR,1,20151102,101300,0.0723800,0.0724100,0.0723100,0.0723500,7740000
VTBR,1,20151102,101400,0.0723000,0.0723600,0.0722700,0.0723600,790000
VTBR,1,20151102,101500,0.0722900,0.0722900,0.0722700,0.0722700,3710000
VTBR,1,20151102,101600,0.0722700,0.0723400,0.0722700,0.0722700,25930000
VTBR,1,20151102,101700,0.0722700,0.0722800,0.0720700,0.0720700,47140000
VTBR,1,20151102,101800,0.0721100,0.0722000,0.0720100,0.0720800,19960000
VTBR,1,20151102,101900,0.0720900,0.0721000,0.0720300,0.0720300,5030000
VTBR,1,20151102,102000,0.0720500,0.0721000,0.0719600,0.0720000,28270000
VTBR,1,20151102,102100,0.0720100,0.0720100,0.0719000,0.0719000,37760000
VTBR,1,20151102,102200,0.0719000,0.0719100,0.0718700,0.0718700,2330000
VTBR,1,20151102,102300,0.0719100,0.0719100,0.0718500,0.0718500,6600000
VTBR,1,20151102,102400,0.0718500,0.0718500,0.0717600,0.0717800,36960000
VTBR,1,20151102,102500,0.0717800,0.0717800,0.0717200,0.0717200,22110000
VTBR,1,20151102,102600,0.0717200,0.0717200,0.0716500,0.0717100,21400000
VTBR,1,20151102,102700,0.0717100,0.0717200,0.0716400,0.0716500,7170000
VTBR,1,20151102,102800,0.0716500,0.0716600,0.0716200,0.0716200,30210000
VTBR,1,20151102,102900,0.0716200,0.0717100,0.0716200,0.0717100,35110000
VTBR,1,20151102,103000,0.0716400,0.0717400,0.0716200,0.0717200,28850000
VTBR,1,20151102,103100,0.0716400,0.0717300,0.0716100,0.0716100,14510000
VTBR,1,20151102,103200,0.0716500,0.0716500,0.0716000,0.0716000,7450000
VTBR,1,20151102,103300,0.0716400,0.0717000,0.0716400,0.0716800,4470000
VTBR,1,20151102,103400,0.0716800,0.0717000,0.0716800,0.0716900,4120000
VTBR,1,20151102,103500,0.0717500,0.0717500,0.0717000,0.0717000,1660000
VTBR,1,20151102,103600,0.0717000,0.0717000,0.0716000,0.0716100,31110000
VTBR,1,20151102,103700,0.0716600,0.0716700,0.0716100,0.0716100,1400000
VTBR,1,20151102,103800,0.0716100,0.0716400,0.0716000,0.0716100,10370000
VTBR,1,20151102,103900,0.0716000,0.0716600,0.0716000,0.0716000,4150000
VTBR,1,20151102,104000,0.0716500,0.0717900,0.0716500,0.0717900,3130000
VTBR,1,20151102,104100,0.0718100,0.0719500,0.0718100,0.0719400,36700000
VTBR,1,20151102,104200,0.0719400,0.0719400,0.0717800,0.0717800,7270000
VTBR,1,20151102,104300,0.0717800,0.0718200,0.0717800,0.0718200,120000
VTBR,1,20151102,104400,0.0718200,0.0718200,0.0718200,0.0718200,500000
VTBR,1,20151102,104500,0.0718300,0.0719000,0.0718300,0.0719000,940000
VTBR,1,20151102,104600,0.0718400,0.0719300,0.0717300,0.0719000,20630000
VTBR,1,20151102,104700,0.0719200,0.0719200,0.0719200,0.0719200,500000
